id,day_of_week,hour_of_day,total_calories,avg_activity_level
3372868164,1,10,194.9165192,0.08888888889
3372868164,1,11,265.9993209,0.35
3372868164,1,12,266.5605001,0.3555555556
3372868164,1,13,219.0472591,0.1888888889
3372868164,1,14,310.519601,0.4166666667
3372868164,1,15,483.4565711,0.8277777778
3372868164,1,16,157.1304003,0.2583333333
3372868164,1,17,201.089501,0.475
3372868164,1,18,158.6268798,0.2583333333
3372868164,1,19,229.1485016,0.6
3372868164,1,20,193.420041,0.4416666667
3372868164,1,21,131.8772995,0.1166666667
3372868164,1,22,120.4666393,0.05
3372868164,1,23,112.2359991,0
3372868164,2,0,113.5454191,0.008333333333
3372868164,2,1,113.5454191,0.008333333333
3372868164,2,2,113.5454191,0.008333333333
3372868164,2,3,113.5454191,0.008333333333
3372868164,2,4,114.8548391,0.01666666667
3372868164,2,5,128.1360998,0.08333333333
3372868164,2,6,141.6044194,0.175
3372868164,2,7,168.3540006,0.3
3372868164,2,8,256.6463217,0.775
3372868164,2,9,205.9530615,0.525
3372868164,2,10,394.3224826,1.225
3372868164,2,11,217.3637213,0.575
3372868164,2,12,167.6057611,0.25
3372868164,2,13,124.7690195,0.05833333333
3372868164,2,14,172.8434405,0.3166666667
3372868164,2,15,167.4187001,0.3083333333
3372868164,2,16,204.8307008,0.5083333333
3372868164,2,17,184.4411607,0.4166666667
3372868164,2,18,189.3047218,0.4166666667
3372868164,2,19,163.49044,0.2916666667
3372868164,2,20,193.420042,0.45
3372868164,2,21,136.1796799,0.1333333333
3372868164,2,22,126.8266797,0.08333333333
3372868164,2,23,112.2359991,0
3372868164,3,0,169.6634187,0.005555555556
3372868164,3,1,170.9728386,0.01111111111
3372868164,3,2,172.6563786,0.01666666667
3372868164,3,3,168.3539987,0
3372868164,3,4,169.6634187,0.005555555556
3372868164,3,5,169.6634187,0.005555555556
3372868164,3,6,187.9952989,0.07777777778
3372868164,3,7,191.9235597,0.08888888889
3372868164,3,8,288.3529916,0.3444444444
3372868164,3,9,453.8075637,0.8388888889
3372868164,3,10,307.1525209,0.5111111111
3372868164,3,11,323.6138023,0.5055555556
3372868164,3,12,251.4086403,0.3055555556
3372868164,3,13,289.7559415,0.4055555556
3372868164,3,14,319.8726025,0.5111111111
3372868164,3,15,236.4438407,0.2333333333
3372868164,3,16,247.6674399,0.2444444444
3372868164,3,17,287.3241607,0.3944444444
3372868164,3,18,281.1511815,0.3888888889
3372868164,3,19,261.1357604,0.2611111111
3372868164,3,20,214.1837001,0.1555555556
3372868164,3,21,243.9262402,0.2555555556
3372868164,3,22,220.9178596,0.2
3372868164,3,23,203.3342198,0.1166666667
3372868164,4,0,172.4693187,0.01666666667
3372868164,4,1,170.9728386,0.01111111111
3372868164,4,2,176.5846388,0.03333333333
3372868164,4,3,174.3399189,0.02222222222
3372868164,4,4,169.6634187,0.005555555556
3372868164,4,5,169.8504788,0.005555555556
3372868164,4,6,181.0740789,0.05
3372868164,4,7,197.7224193,0.1111111111
3372868164,4,8,286.0147418,0.4166666667
3372868164,4,9,284.1441407,0.4111111111
3372868164,4,10,422.3814813,0.7611111111
3372868164,4,11,436.5045114,0.7666666667
3372868164,4,12,293.497142,0.4388888889
3372868164,4,13,268.6181605,0.3555555556
3372868164,4,14,479.9959641,0.9611111111
3372868164,4,15,266.1863803,0.35
3372868164,4,16,333.340922,0.5666666667
3372868164,4,17,286.0147415,0.4166666667
3372868164,4,18,233.4508804,0.2277777778
3372868164,4,19,231.3932204,0.2111111111
3372868164,4,20,270.4887606,0.3722222222
3372868164,4,21,178.4552389,0.03888888889
3372868164,4,22,198.6577194,0.1111111111
3372868164,4,23,175.2752188,0.02777777778
3372868164,5,0,170.9728386,0.01111111111
3372868164,5,1,170.9728386,0.01111111111
3372868164,5,2,169.6634187,0.005555555556
3372868164,5,3,168.3539987,0
3372868164,5,4,168.3539987,0
3372868164,5,5,228.4002599,0.2277777778
3372868164,5,6,206.1401198,0.1444444444
3372868164,5,7,275.5393814,0.3833333333
3372868164,5,8,347.5574814,0.6388888889
3372868164,5,9,257.0204409,0.3166666667
3372868164,5,10,419.1079329,0.7388888889
3372868164,5,11,530.1280442,1.077777778
3372868164,5,12,243.55212,0.2666666667
3372868164,5,13,274.9782025,0.3722222222
3372868164,5,14,296.8642211,0.4333333333
3372868164,5,15,304.1595622,0.4833333333
3372868164,5,16,231.9544001,0.2222222222
3372868164,5,17,248.0415604,0.2777777778
3372868164,5,18,323.4267417,0.4722222222
3372868164,5,19,313.5125614,0.4777777778
3372868164,5,20,265.9993207,0.3333333333
3372868164,5,21,195.2906393,0.1055555556
3372868164,5,22,183.6929191,0.06111111111
3372868164,5,23,168.3539987,0
3372868164,6,0,170.9728386,0.01111111111
3372868164,6,1,169.6634187,0.005555555556
3372868164,6,2,168.3539987,0
3372868164,6,3,168.3539987,0
3372868164,6,4,169.6634187,0.005555555556
3372868164,6,5,199.0318394,0.1222222222
3372868164,6,6,181.4481992,0.05
3372868164,6,7,184.2540992,0.06111111111
3372868164,6,8,254.0274806,0.3222222222
3372868164,6,9,274.7911412,0.3944444444
3372868164,6,10,293.497142,0.3944444444
3372868164,6,11,348.3057228,0.5166666667
3372868164,6,12,284.7053211,0.3666666667
3372868164,6,13,264.8769608,0.3111111111
3372868164,6,14,250.2862805,0.2722222222
3372868164,6,15,330.9091418,0.5555555556
3372868164,6,16,282.4606018,0.3777777778
3372868164,6,17,239.6238601,0.2111111111
3372868164,6,18,301.5407213,0.4055555556
3372868164,6,19,258.5169208,0.2888888889
3372868164,6,20,249.7251015,0.2888888889
3372868164,6,21,220.3566799,0.2
3372868164,6,22,177.1458189,0.03333333333
3372868164,6,23,180.3258388,0.04444444444
3372868164,7,0,169.8504788,0.005555555556
3372868164,7,1,170.9728386,0.01111111111
3372868164,7,2,170.9728386,0.01111111111
3372868164,7,3,168.3539987,0
3372868164,7,4,168.3539987,0
3372868164,7,5,190.4270793,0.08333333333
3372868164,7,6,200.1541991,0.1222222222
3372868164,7,7,263.6610706,0.3222222222
3372868164,7,8,245.2356604,0.2722222222
3372868164,7,9,419.575583,0.7555555556
3372868164,7,10,503.2849327,0.95
3372868164,7,11,277.5970412,0.3833333333
3372868164,7,12,292.5618416,0.4166666667
3372868164,7,13,228.7743803,0.1944444444
3372868164,7,14,280.4029412,0.3777777778
3372868164,7,15,271.0499408,0.3666666667
3372868164,7,16,263.7546011,0.3277777778
3372868164,7,17,279.2805812,0.4111111111
3372868164,7,18,218.6731397,0.1722222222
3372868164,7,19,265.9993211,0.35
3372868164,7,20,254.2145411,0.3166666667
3372868164,7,21,192.4847392,0.09444444444
3372868164,7,22,185.1893994,0.06111111111
3372868164,7,23,169.6634187,0.005555555556
3977333714,1,0,176.2371647,0.02083333333
3977333714,1,1,170.4750246,0.004166666667
3977333714,1,2,169.4209746,0
3977333714,1,3,172.6533946,0.0125
3977333714,1,4,169.0696245,0
3977333714,1,5,168.8588145,0
3977333714,1,6,171.2479946,0.004166666667
3977333714,1,7,171.4588046,0.008333333333
3977333714,1,8,171.8804246,0.008333333333
3977333714,1,9,198.4424849,0.0875
3977333714,1,10,279.1827149,0.3208333333
3977333714,1,11,231.3991156,0.1708333333
3977333714,1,12,269.1341038,0.2208333333
3977333714,1,13,250.7936352,0.1916666667
3977333714,1,14,360.9769955,0.55
3977333714,1,15,337.5770862,0.475
3977333714,1,16,295.7664345,0.3333333333
